Cluster,Id,X,Y,Speed,Angle,Lane_position,Leader
3,car1.0,24.495190635621356,-62.926790186447505,9.159875317856624,297.5316812535276,62.06964015255767,No
3,car1.12,9.56262026046377,33.3246570124496,9.159875317856624,358.3426748639619,87.04114077679071,Yes
3,car1.5,11.797404418657324,-43.91304619410222,9.159875317856624,358.3426748639619,9.77104939403318,No
1,car1.1,218.97969622314076,-91.07763003661766,10.310521500907576,269.54379324670225,46.17282179080866,No
1,car1.13,35.37897924451473,-64.99321516636248,10.310521500907576,297.5422458024419,51.46239368693236,Yes
1,car1.2,119.1924173914882,-91.87218406745434,10.310521500907576,269.5437932467025,145.9655427733574,No
1,car1.4,89.49376566826263,-92.10865893392418,10.310521500907576,269.5437932467025,175.66581418744923,No
1,car1.9,141.95660711320505,-88.49076545383247,10.310521500907576,269.5437932467025,123.18011045839654,No
0,car1.10,324.5,-16.116335447219868,13.299035185833006,180.0,64.69633544721987,No
0,car1.6,267.3355619311716,-86.06170887114916,13.299035185833006,228.05979167797597,71.83647938947274,No
0,car1.7,321.3,-2.101983158275445,13.299035185833006,180.0,50.68198315827544,Yes
0,car1.8,314.5581655338961,59.83481579709906,13.299035185833006,132.63005613385522,71.87356986556011,No
2,car1.11,77.54814085786677,102.52825521689718,5.813137084398724,49.404452301477015,87.65139740578611,No
2,car1.14,95.1477005330884,106.77163464522846,5.813137084398724,90.06724459034822,7.128118800826975,Yes
2,car1.3,14.05762759132596,43.90636610769517,5.813137084398724,18.596618409932876,1.3006213421900197,No
